scope,group,destination_port,count,percentage
binary,BENIGN,53,613513,41.834073284106324
binary,BENIGN,443,329104,22.440862465982832
binary,BENIGN,80,152953,10.42952147880145
binary,BENIGN,123,14912,1.016815781919199
binary,BENIGN,22,4836,0.329755976486135
binary,BENIGN,389,4066,0.27725140620194894
binary,BENIGN,88,3571,0.243498468162115
binary,BENIGN,21,2385,0.16262779237374525
binary,BENIGN,137,2049,0.1397167071588277
binary,BENIGN,465,1952,0.13310249505809255
binary,BENIGN,139,1626,0.11087328737933325
binary,BENIGN,3268,1605,0.1094413445534009
binary,BENIGN,445,1350,0.09205346738136524
binary,BENIGN,0,1116,0.07609753303526193
binary,BENIGN,8080,943,0.06430105165972402
binary,ATTACK,80,226939,76.14917169710657
binary,ATTACK,21,4394,1.4744026387579316
binary,ATTACK,22,2425,0.8137065086454219
binary,ATTACK,8080,950,0.31877162194356734
binary,ATTACK,139,142,0.04764796875367007
binary,ATTACK,444,119,0.03993034001187844
binary,ATTACK,445,119,0.03993034001187844
binary,ATTACK,443,108,0.036239300178847654
binary,ATTACK,135,81,0.027179475134135742
binary,ATTACK,1025,81,0.027179475134135742
binary,ATTACK,19283,81,0.027179475134135742
binary,ATTACK,199,80,0.02684392605840567
binary,ATTACK,111,80,0.02684392605840567
binary,ATTACK,3306,80,0.02684392605840567
binary,ATTACK,2040,79,0.0265083769826756
attack_family,Bot,8080,872,63.882783882783876
attack_family,Bot,4300,1,0.07326007326007326
attack_family,Bot,1861,1,0.07326007326007326
attack_family,Bot,2353,1,0.07326007326007326
attack_family,Bot,2954,1,0.07326007326007326
attack_family,Bot,52739,1,0.07326007326007326
attack_family,Bot,2574,1,0.07326007326007326
attack_family,Bot,53895,1,0.07326007326007326
attack_family,Bot,52224,1,0.07326007326007326
attack_family,Bot,2910,1,0.07326007326007326
attack_family,Bot,4284,1,0.07326007326007326
attack_family,Bot,51760,1,0.07326007326007326
attack_family,Bot,1858,1,0.07326007326007326
attack_family,Bot,51656,1,0.07326007326007326
attack_family,Bot,51665,1,0.07326007326007326
attack_family,DDoS,80,89620,99.99665264496836
attack_family,DDoS,64873,1,0.0011157850105441684
attack_family,DDoS,64869,1,0.0011157850105441684
attack_family,DDoS,27636,1,0.0011157850105441684
attack_family,DoS GoldenEye,80,7293,100.0
attack_family,DoS Hulk,80,120877,100.0
attack_family,DoS Slowhttptest,80,3685,100.0
attack_family,DoS slowloris,80,3717,100.0
attack_family,FTP-Patator,21,4225,100.0
attack_family,Heartbleed,444,8,100.0
attack_family,Infiltration,444,29,100.0
attack_family,PortScan,80,274,0.431679611803444
attack_family,PortScan,22,174,0.27413230822554474
attack_family,PortScan,21,169,0.26625494304664976
attack_family,PortScan,139,142,0.22371717108061695
attack_family,PortScan,445,119,0.1874812912577001
attack_family,PortScan,443,108,0.17015108786413122
attack_family,PortScan,444,82,0.1291887889338774
attack_family,PortScan,135,81,0.1276133158980984
attack_family,PortScan,1025,81,0.1276133158980984
attack_family,PortScan,19283,81,0.1276133158980984
attack_family,PortScan,199,80,0.12603784286231942
attack_family,PortScan,111,80,0.12603784286231942
attack_family,PortScan,3306,80,0.12603784286231942
attack_family,PortScan,2040,79,0.12446236982654041
attack_family,PortScan,5904,79,0.12446236982654041
attack_family,SSH-Patator,22,2251,100.0
attack_family,Web Attack - Brute Force,80,1010,100.0
attack_family,Web Attack - SQL Injection,80,13,100.0
attack_family,Web Attack - XSS,80,450,100.0
