source_row,label,sampled_scale,applied_scale,constrained
2155,Bot,0.8934890121389908,0.8934890121389908,False
2192,Bot,0.8097196099380131,0.8097196099380131,False
2670,Bot,0.9146494799778455,0.9146494799778455,False
5506,Bot,0.8743420072648409,0.8743420072648409,False
7023,Bot,0.7235443369719123,0.7235443369719123,False
7897,Bot,0.9439055879091889,0.9439055879091889,False
8534,Bot,0.8902849254975882,0.8902849254975882,False
8736,Bot,0.8965160763192384,0.8965160763192384,False
14296,Bot,0.7320284081688864,0.7320284081688864,False
15120,Bot,0.8125964844738918,0.8125964844738918,False
15165,Bot,0.7926995060581452,0.7926995060581452,False
15620,Bot,0.9316912472121504,0.9316912472121504,False
17450,Bot,0.8609662800201661,0.8609662800201661,False
19315,Bot,0.9056904033177074,0.9056904033177074,False
20481,Bot,0.8108535497068328,0.8108535497068328,False
20597,Bot,0.7568096804461941,0.7568096804461941,False
22318,Bot,0.8386461967539587,0.8386461967539587,False
22653,Bot,0.7159543140260438,0.7159543140260438,False
23313,Bot,0.9069077929981455,0.9069077929981455,False
23943,Bot,0.8579160997805162,0.8579160997805162,False
27623,Bot,0.8895219350213435,0.8895219350213435,False
33554,Bot,0.7886314920324671,0.7886314920324671,False
33888,Bot,0.9426745060987258,0.9426745060987258,False
36145,Bot,0.9232802803305493,0.9232802803305493,False
36936,Bot,0.8945958742684404,0.8945958742684404,False
37096,Bot,0.7486596769629918,0.7486596769629918,False
40322,Bot,0.8166802509317586,0.8166802509317586,False
40653,Bot,0.7109509414468071,0.7109509414468071,False
41152,Bot,0.7385723730168869,0.7385723730168869,False
42123,Bot,0.8707622383106136,0.8707622383106136,False
42944,Bot,0.8861905389769542,0.8861905389769542,False
43234,Bot,0.9418774331085524,0.9418774331085524,False
43346,Bot,0.781456339534538,0.781456339534538,False
44131,Bot,0.7926149265087172,0.7926149265087172,False
45078,Bot,0.817388952818952,0.817388952818952,False
45488,Bot,0.7473678397710714,0.7473678397710714,False
47287,Bot,0.7324803763338679,0.7324803763338679,False
52413,Bot,0.8189262315564834,0.8189262315564834,False
54243,Bot,0.756727337262721,0.756727337262721,False
54276,Bot,0.8674534986706275,0.8674534986706275,False
57476,Bot,0.8092879797180826,0.8092879797180826,False
59577,Bot,0.9081695490144593,0.9081695490144593,False
60336,Bot,0.8750662755005623,0.8750662755005623,False
65921,Bot,0.7780916603455102,0.7780916603455102,False
66390,Bot,0.9080649503488002,0.9080649503488002,False
68107,Bot,0.9011910893742004,0.9011910893742004,False
70874,Bot,0.7968695947575436,0.7968695947575436,False
71356,Bot,0.7720820259825609,0.7720820259825609,False
71475,Bot,0.8706238759937438,0.8706238759937438,False
72464,Bot,0.7349381209023274,0.7349381209023274,False
73185,Bot,0.7499770506187771,0.7499770506187771,False
73975,Bot,0.7018405674377514,0.7018405674377514,False
75031,Bot,0.8967310943755346,0.8967310943755346,False
76861,Bot,0.866212714148008,0.866212714148008,False
77828,Bot,0.8762913446565838,0.8762913446565838,False
79888,Bot,0.895182257755492,0.895182257755492,False
83527,Bot,0.8147289438845849,0.8147289438845849,False
84869,Bot,0.8421852989882234,0.8421852989882234,False
85042,Bot,0.7349492495319143,0.7349492495319143,False
86563,Bot,0.7286325183839933,0.7286325183839933,False
87616,Bot,0.8671007404476179,0.8671007404476179,False
88140,Bot,0.8177740515357831,0.8177740515357831,False
88727,Bot,0.8413090266202972,0.8413090266202972,False
89597,Bot,0.8912497143540064,0.8912497143540064,False
89927,Bot,0.8586795800001477,0.8586795800001477,False
90263,Bot,0.8383948501644989,0.8383948501644989,False
91080,Bot,0.8398017901863534,0.8398017901863534,False
92457,Bot,0.775987524515653,0.775987524515653,False
92789,Bot,0.7077044586419848,0.7077044586419848,False
93154,Bot,0.8091793473080906,0.8091793473080906,False
93733,Bot,0.7536461682048823,0.7536461682048823,False
96491,Bot,0.802132160931159,0.802132160931159,False
96987,Bot,0.9133507683170414,0.9133507683170414,False
99361,Bot,0.7584848714663351,0.7584848714663351,False
99679,Bot,0.7145756854222665,0.7145756854222665,False
99721,Bot,0.7703459730054991,0.7703459730054991,False
99841,Bot,0.7733984394416709,0.7733984394416709,False
102979,Bot,0.8654791286817237,0.8654791286817237,False
103219,Bot,0.8392580380853195,0.8392580380853195,False
110786,Bot,0.8959745522766034,0.8959745522766034,False
110937,Bot,0.8660783850818469,0.8660783850818469,False
111618,Bot,0.8015967153600176,0.8015967153600176,False
112083,Bot,0.9035050961665086,0.9035050961665086,False
